@date: 2012-11-23
@url: http://www.quanthistling.info/data/source/kraft1981/wordlist.html
@source_title: Chadic Wordlists
@source_author: Kraft, Charles H.
@source_year: 1981
@doculect: English, eng, English, Chadic
@doculect: Hausa, hau, Hausa, Chadic
@doculect: Angas, anc, Angas, Chadic
@doculect: Sura, sur, Sura, Chadic
@doculect: Bade, bde, Bade, Chadic
@doculect: Piðimdi, ttr, Piimdi, Chadic
@doculect: Hwona, hwo, Hwona, Chadic
@doculect: Ga?anda, gqa, Ga?anda, Chadic
@doculect: Gábin, gqa, Gabin, Chadic
@doculect: Boka, bvw, Boka, Chadic
@doculect: Bura, bwr, Bura, Chadic
@doculect: Cibak, ckl, Cibak, Chadic
@doculect: West Margi, mfl, West Margi, Chadic
@doculect: Ngwaxi, ngx, Ngwaxi, Chadic
@doculect: Fali Gili, bcw, Fali Gili, Chadic
@doculect: Cip, mjs, Cip, Chadic
@doculect: Seya, say, Seya, Chadic
@doculect: Ankwe, ank, Ankwe, Chadic
@doculect: Karekare, kai, Karekare, Chadic
@doculect: Dwot, dot, Dwot, Chadic
@doculect: Gera, gew, Gera, Chadic
@doculect: Fali Jilbu, ziz, Fali Jilbu, Chadic
@doculect: Bole(wa), bol, Bole(wa), Chadic
@doculect: Pəlci, plj, Plci, Chadic
@doculect: Ngamo, nbh, Ngamo, Chadic
@doculect: Misme (Zime), zim, Misme (Zime), Chadic
@doculect: Pero, pip, Pero, Chadic
@doculect: Gələvda, glw, Glvda, Chadic
@doculect: Ngizim, ngi, Ngizim, Chadic
@doculect: Tangale, tan, Tangale, Chadic
@doculect: Kilba, hbb, Kilba, Chadic
@doculect: Dera, kna, Dera, Chadic
@doculect: Fali Mucella, gde, Fali Mucella, Chadic
@doculect: Miya, mkf, Miya, Chadic
@doculect: Hildi, mfm, Hildi, Chadic
@doculect: Dira, dwa, Dira, Chadic
@doculect: Burma, bux, Burma, Chadic
@doculect: Wamdiu, mfm, Wamdiu, Chadic
@doculect: Geji, gji, Geji, Chadic
@doculect: Fali Ɓwagira, fli, Fali wagira, Chadic
@doculect: Buli, plj, Buli, Chadic
@doculect: Margi, mrt, Margi, Chadic
@doculect: Banana, mcn, Banana, Chadic
@doculect: Zə̀ɣvana, dgh, Zvana, Chadic
@doculect: Higi Nkafa, hig, Higi Nkafa, Chadic
@doculect: Gude, gde, Gude, Chadic
@doculect: Higi Baza, hig, Higi Baza, Chadic
@doculect: Higi Kamale, kvj, Higi Kamale, Chadic
@doculect: Njanye, nja, Njanye, Chadic
@doculect: Higi Ghye, hya, Higi Ghye, Chadic
@doculect: Gava, gdf, Gava, Chadic
@doculect: Higi Futu, hig, Higi Futu, Chadic
@doculect: Mwulyen, bta, Mwulyen, Chadic
@doculect: Fali Kiria, fkk, Fali Kiria, Chadic
@doculect: Bankala, jjr, Bankala, Chadic
@doculect: Banana (Mouseye), mse, Banana (Mouseye), Chadic
@doculect: Nakatsa, cie, Nakatsa, Chadic
@doculect: Bacama, bcy, Bacama, Chadic
@doculect: Gudu, gdu, Gudu, Chadic
@doculect: Jaku, jku, Jaku, Chadic
@doculect: Matakam, maf, Matakam, Chadic
@doculect: Mandara, mfi, Mandara, Chadic
@doculect: Lame, bma, Lame, Chadic
@doculect: Daba, dbq, Daba, Chadic
@doculect: Massa, mcn, Massa, Chadic
@doculect: Lame (Peve), lme, Lame (Peve), Chadic
@doculect: Yingilum, fll, Yingilum, Chadic
@doculect: Jari, dgd, Jari, Chadic
QLCID	CONCEPT	COUNTERPART	COUNTERPART_DOCULECT
kraft1981/English/GOD	GOD	god	English
kraft1981/English/WASH	WASH	wash	English
kraft1981/English/ROPE_BROKE	ROPE_BROKE	rope broke	English
kraft1981/English/STICK_SNAPPED	STICK_SNAPPED	stick snapped	English
kraft1981/English/BREAK_IN_PIECES	BREAK_IN_PIECES	break in pieces	English
kraft1981/English/PLAIT	PLAIT	plait	English
kraft1981/English/WEAVE	WEAVE	weave	English
kraft1981/English/OBTAIN	OBTAIN	obtain	English
kraft1981/English/MOISTEN	MOISTEN	moisten	English
kraft1981/English/BLOW	BLOW	blow	English
kraft1981/English/SWEEP	SWEEP	sweep	English
kraft1981/English/POUR	POUR	pour	English
kraft1981/English/UNTIE	UNTIE	untie	English
kraft1981/English/TIE	TIE	tie	English
kraft1981/English/SURPASS	SURPASS	surpass	English
kraft1981/English/SEW	SEW	sew	English
kraft1981/English/DRY_UP	DRY_UP	dry up	English
kraft1981/English/SHOW	SHOW	show	English
kraft1981/English/FILL	FILL	fill	English
kraft1981/English/BEGIN	BEGIN	begin	English
kraft1981/English/FINISH	FINISH	finish	English
kraft1981/English/INCREASE	INCREASE	increase	English
kraft1981/English/FORGE	FORGE	forge	English
kraft1981/English/THROW	THROW	throw	English
kraft1981/English/FOLLOW	FOLLOW	follow	English
kraft1981/English/DIE	DIE	die	English
kraft1981/English/WAIT_FOR	WAIT_FOR	wait for	English
kraft1981/English/GIVE_BIRTH	GIVE_BIRTH	give birth	English
kraft1981/English/STAND_UP	STAND_UP	stand up	English
kraft1981/English/SIT	SIT	sit	English
kraft1981/English/CALL	CALL	call	English
kraft1981/English/SELL	SELL	sell	English
kraft1981/English/BUY	BUY	buy	English
kraft1981/English/SHOOT	SHOOT	shoot	English
kraft1981/English/BITE	BITE	bite	English
kraft1981/English/GIVE	GIVE	give	English
kraft1981/English/SEIZE	SEIZE	seize	English
kraft1981/English/DRIVE_AWAY	DRIVE_AWAY	drive away	English
kraft1981/English/HOLD	HOLD	hold	English
kraft1981/English/SQUEEZE	SQUEEZE	squeeze	English
kraft1981/English/PIERCE	PIERCE	pierce	English
kraft1981/English/DIVIDE	DIVIDE	divide	English
kraft1981/English/LEARN	LEARN	learn	English
kraft1981/English/DIG	DIG	dig	English
kraft1981/English/FORGET	FORGET	forget	English
kraft1981/English/REMEMBER	REMEMBER	remember	English
kraft1981/English/KNOW	KNOW	know	English
kraft1981/English/FALL	FALL	fall	English
kraft1981/English/HELP	HELP	help	English
kraft1981/English/STEAL	STEAL	steal	English
kraft1981/English/HIDE	HIDE	hide	English
kraft1981/English/ARRANGE	ARRANGE	arrange	English
kraft1981/English/UNDRESS	UNDRESS	undress	English
kraft1981/English/DRESS	DRESS	dress	English
kraft1981/English/BUILD	BUILD	build	English
kraft1981/English/TEAR	TEAR	tear	English
kraft1981/English/CUT	CUT	cut	English
kraft1981/English/CHOP	CHOP	chop	English
kraft1981/English/TWIST	TWIST	twist	English
kraft1981/English/REFUSE	REFUSE	refuse	English
kraft1981/English/ANSWER	ANSWER	answer	English
kraft1981/English/ASK	ASK	ask	English
kraft1981/English/SPEAK	SPEAK	speak	English
kraft1981/English/BOIL	BOIL	boil	English
kraft1981/English/FRY	FRY	fry	English
kraft1981/English/ROAST	ROAST	roast	English
kraft1981/English/COOK	COOK	cook	English
kraft1981/English/BURN	BURN	burn	English
kraft1981/English/ACCOMPANY	ACCOMPANY	accompany	English
kraft1981/English/GATHER	GATHER	gather	English
kraft1981/English/BURY	BURY	bury	English
kraft1981/English/CLOSE	CLOSE	close	English
