ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Angas,Angas,ngas1240,Ngas,anc,Africa,9.32042,9.46146,Afro-Asiatic
Ankwe,Ankwe,goem1240,Goemai,ank,Africa,8.74455,9.72453,Afro-Asiatic
Bacama,Bacama,baca1246,Bacama,bcy,Africa,9.53072,12.0416,Afro-Asiatic
Bade,Bade,bade1248,Bade,bde,Africa,12.789,10.6557,Afro-Asiatic
Banana,Banana,masa1322,Masana,mcn,Africa,10.0606,15.4748,Afro-Asiatic
Bananamouseye,Banana (Mouseye),muse1242,Musey,mse,Africa,9.81612,15.4115,Afro-Asiatic
Bankala,Bankala,bank1257,Bankal,jjr,Africa,9.5,10.5,Atlantic-Congo
Boka,Boka,boga1251,Boga,bvw,Africa,10.188,12.936,Afro-Asiatic
Bolewa,Bole(wa),nucl1695,Bole,bol,Africa,11.4839,11.2322,Afro-Asiatic
Buli,Buli,polc1243,Pesse,plj,Africa,10.1346,9.5961,Afro-Asiatic
Bura,Bura,bura1292,Bura-Pabir,bwr,Africa,10.4822,12.3007,Afro-Asiatic
Burma,Burma,bogh1241,Boghom,bux,Africa,9.49679,10.11454,Afro-Asiatic
Cibak,Cibak,ciba1236,Cibak,ckl,Africa,10.8977,12.902,Afro-Asiatic
Cip,Cip,mish1244,Miship,mjs,Africa,9.20477,9.33752,Afro-Asiatic
Daba,Daba,nucl1683,Daba,dbq,Africa,10.3521,13.6318,Afro-Asiatic
Dera,Dera,dera1248,Dera (Nigeria),kna,Africa,10.072,12.0256,Afro-Asiatic
Dira,Dira,diri1259,Diri,dwa,Africa,11.1701,9.32363,Afro-Asiatic
Dwot,Dwot,dass1243,Dass,dot,Africa,9.9325,9.51838,Afro-Asiatic
Faligili,Fali Gili,bana1305,Bana,bcw,Africa,10.3535,13.6131,Afro-Asiatic
Falijilbu,Fali Jilbu,zizi1238,Zizilivakan,ziz,Africa,10.4689,13.5233,Afro-Asiatic
