ID,Name,Concepticon_ID,Concepticon_Gloss
2,DUST,2,DUST
5,GAZELLE,5,GAZELLE
7,GATHER,7,GATHER
11,DARKNESS,11,DARKNESS
21,TASTE,21,TASTE (SOMETHING)
25,DIRT,25,DIRT
28,MOISTEN,28,MOISTEN
30,DRIVE_AWAY,30,DISPEL
35,TAMARIND,35,TAMARIND
45,EVIL,45,EVIL
49,REFUSE,49,REFUSE
52,QUIVER,52,SHIVER
57,ATOP,57,ATOP
78,THAT,78,THAT
98,ALL,98,ALL
111,DRUMMING,111,DRUMMING
112,TURTLE,112,TURTLE
124,THORN,124,THORN
132,SAUCE,132,SAUCE
133,WEAVE,133,WEAVE
136,HERE,136,HERE
156,RED,156,RED
159,SWEET_POTATO,159,SWEET POTATO
163,BLACK,163,BLACK
168,REST,168,REST
175,BLOW,175,BLOW (OF WIND)
195,MAT_TABARME,195,MAT
201,FARM,201,FARM
202,STRENGTH,202,STRENGTH
210,LIFE,210,LIFE
215,LIE_DOWN,215,LIE DOWN
221,FIRE,221,FIRE
227,FISH,227,FISH
230,SWEEP,230,SWEEP
244,LEFT,244,LEFT
249,FOG,249,FOG
256,FOOD,256,FOOD
264,HE-GOAT,264,HE-GOAT
284,HOE,284,HOE
288,FORGE,288,FORGE
305,GRANDPARENT,305,GRANDPARENTS
307,KITE,307,HAWK
341,SICKLE,341,SICKLE
347,GUINEA_CORN,347,SORGHUM
352,UNTIE,352,UNTIE
394,NATIVE_DOCTOR,394,SHAMAN (FOLK HEALER)
398,PIERCE,398,PIERCE
400,MUSH,400,MUSH
402,SURPASS,402,SURPASS
406,OLD_MAN,406,OLD MAN
410,YAM,410,YAM
411,CALABASH,411,GOURD
420,FOREST,420,FOREST
430,TWIST,430,TWIST
451,HARMATTAN,451,HARMATTAN
452,DRY_SEASON,452,DRY SEASON
453,RAINY_SEASON,453,RAINY SEASON
454,SHEA_NUT_TREE,454,SHEA NUT TREE
455,MAHOGANY_TREE,455,MAHOGANY TREE
456,GUINEA_FOWL,456,GUINEA FOWL
457,BLIND_MAN,457,BLIND PERSON
458,DEAF_MAN,458,DEAF PERSON
459,STICK_SNAPPED,459,SNAPP (OF STICK)
460,ROPE_BROKE,460,BREAK (OF ROPE)
461,MAN_S_ROBE,461,BOUBOU
462,WOMAN_S_BODYCLOTH,462,WRAPPER
478,LIP,478,LIP
483,COMPOUND,483,COMPOUND
489,KIDNEY,489,KIDNEY
492,THREE,492,THREE
493,FIVE,493,FIVE
501,LIFT,501,LIFT
503,FROG,503,FROG
504,LEARN,504,LEARN
507,MELON,507,MELON
570,STAND_UP,570,STAND UP
581,RETURN,581,COME BACK
595,GROUNDNUTS,595,GROUNDNUTS
601,LIE,601,LIE (MISLEAD)
606,GRASS,606,GRASS
612,HOTNESS,612,HEAT
615,HORSE,615,HORSE
621,IRON,621,IRON
624,LAKE,624,LAKE
628,LEAF,628,LEAF
630,LIGHT,630,LIGHT (RADIATION)
632,LIZARD,632,LIZARD
633,MARKET,633,MARKET
634,MEAT,634,MEAT
635,MILK,635,MILK
639,MOUNTAIN,639,MOUNTAIN
640,MUD,640,MUD
646,ASHES,646,ASH
666,RIVER,666,RIVER
667,ROAD,667,ROAD
671,SAND,671,SAND
674,MOUTH,674,MOUTH
675,FAECES,675,FAECES (EXCREMENT)
677,AXE,677,AXE
678,BEARD,678,BEARD
680,BREAK_IN_PIECES,680,BREAK (DESTROY OR GET DESTROYED)
683,PERSON,683,PERSON
688,LUNGS,688,LUNG
689,BETWEEN,689,BETWEEN
694,OBTAIN,694,GET
695,GO,695,GO
704,CLEANNESS,704,CLEAN
705,MOUNT,705,GO UP (ASCEND)
707,REMEMBER,707,REMEMBER
713,STEAL,713,STEAL
714,SEED,714,SEED
717,SWEETNESS,717,SWEET
723,PLACE,723,PLACE (POSITION)
730,SNAKE,730,SNAKE
738,THING,738,THING
744,EGG,744,EGG
749,GO_IN,749,ENTER
762,OUTSIDE,762,OUTSIDE
763,SKIN,763,SKIN
778,SMOKE,778,SMOKE (EXHAUST)
797,TESTICLES,797,TESTICLES
800,THIGH,800,THIGH
801,RIBS,801,RIB
810,LOCUST,810,LOCUST
812,SLAVE,812,SLAVE
813,DO,813,DO
814,DRESS,814,DRESS UP
819,STOMACH,819,STOMACH
822,HOW_MANY,822,HOW MANY
832,BEANS,832,BEAN
834,BUTTOCKS,834,BUTTOCKS
837,BLUE,837,BLUE
843,SPIDER,843,SPIDER
848,THIRST,848,THIRST
855,SEIZE,855,SEIZE
857,STONE,857,STONE
858,STORM,858,STORM
879,COUGH,879,COUGH
883,TERMITE,883,TERMITE
887,BITTERNESS,887,BITTER
892,TIME,892,TIME
897,SWALLOW,897,SWALLOW
906,TREE,906,TREE
907,OLD_WOMAN,907,OLD WOMAN
910,DEATH,910,DEATH
925,CASSAVA,925,CASSAVA
931,MILLET,931,MILLET
935,WAR,935,WAR
937,BIRD,937,BIRD
942,HONEY,942,HONEY
945,SPEAR,945,SPEAR
946,BLOOD,946,BLOOD
948,WATER,948,WATER
958,WILD_ANIMAL,958,WILD ANIMAL
960,WIND,960,WIND
962,WOMAN,962,WOMAN
977,ARROW,977,ARROW
