Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
j	dʒ	T	Consonant	832	U+006A	"bə̀gwə̀jò,gə̀jà,tòjè mutùgò"	Angas,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
k	k	K	Consonant	7819	U+006B	"ki̵sì zɔwɔ̀l,kyaðɩ̀l,šɩkī̵l"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
l	l	L	Consonant	4974	U+006C	"a gì̵làsəy,li̵m,wtì̵lɩʔ"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
m	m	M	Consonant	7690	U+006D	"kaimā,ntì̵màhəw,zumšὲy"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
n	n	N	Consonant	8476	U+006E	"ngì̵rngì̵rya,nâna,vì̵kuwùn"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
o	o	U	Vowel	2243	U+006F	"ne or nwe,tiwo,tsófo"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Higibaza,Higifutu,Higighye,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
p	p	P	Consonant	2351	U+0070	"pi̵tò,pɩli,šugup"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
q	q	K	Consonant	1	U+0071	"irquis"	Mismezime
r	r	R	Consonant	4931	U+0072	"bàrədà barυgà,lùvàri,wùšə̀hàrà"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
s	s	S	Consonant	3067	U+0073	"psuɗi,rə̀bə̀tusù,sàyʔɩn"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
t	t	T	Consonant	5714	U+0074	"làwùm tarà,puƚiti,ti̵rtɩ̀kânan"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
u	u	Y	Vowel	7828	U+0075	"kum kà pu ntsisù,mànvur,ɓut"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
v	v	B	Consonant	1435	U+0076	"bìɣyὲnvubìɣyè,vì̵tsentì̵vì̵tsa,əvìyə"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Bura,Burma,Cibak,Cip,Daba,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gava,Geji,Glvda,Gude,Gudu,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Wamdiu,Westmargi,Yingilum,Zvana
w	w	W	Consonant	6636	U+0077	"gwùlti,vujirtuɣwè,ŋ̀gwàyə̀nda"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
x	x	G	Consonant	1618	U+0078	"mtixi̵rà,wur̂xe,xaƚùmɔ"	Banana,Boka,Bura,Cibak,Daba,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Glvda,Gude,Gudu,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Lame,Mandara,Margi,Massa,Matakam,Nakatsa,Ngwaxi,Njanye,Piimdi,Plci,Seya,Wamdiu,Westmargi,Zvana
y	j	J	Consonant	4614	U+0079	"kì̵skayɛ,ƚiyèwète,ʔyiŋatùʔ"	Angas,Ankwe,Bacama,Bade,Banana,Bananamouseye,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
z	z	S	Consonant	1209	U+007A	"azi̵mε,bzànto,dùgwùza"	Angas,Ankwe,Bacama,Bade,Banana,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
à	à/a	A	Vowel	8128	U+00E0	"dàlà,ɗàsî,ʔàði"	Angas,Ankwe,Bacama,Bade,Banana,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
á	á/a	A	Vowel	785	U+00E1	"mázàrə́n,wáàtε̄,šɩ̀n vìárkέ"	Bade,Bolewa,Bura,Cip,Falijilbu,Falikiria,Glvda,Gudu,Higifutu,Higinkafa,Hildi,Kilba,Lame,Lamepeve,Matakam,Mismezime,Mwulyen,Sura,Yingilum
â	â/a	A	Vowel	454	U+00E2	"salâiɗò,taxsâɗa,ɓìlâ"	Ankwe,Bacama,Bade,Banana,Boka,Bura,Burma,Cibak,Cip,Dera,Dwot,Faligili,Falijilbu,Falikiria,Faliwagira,Gaanda,Gabin,Geji,Gude,Gudu,Hausa,Higibaza,Higikamale,Higinkafa,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Yingilum
ã	ã	A	Vowel	30	U+00E3	"inyayã,lowã,swã"	Banana,Bura,Burma,Falijilbu,Geji,Higinkafa,Jaku,Kilba,Lame,Lamepeve,Mismezime,Plci,Yingilum
ä	ä	A	Vowel	4	U+00E4	"zàmnä,ɓəmmäši kà hɩɗè,ɓəmmäši ɓìɗè fwət"	Ngwaxi,Njanye
æ	æ	E	Vowel	57	U+00E6	"puřæŋkà kwuřɩkə̀y,sutsumæʔ,šæpm̦̀"	Burma,Cibak,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Higibaza,Higifutu,Higikamale,Higinkafa,Jari,Margi,Ngwaxi,Njanye,Westmargi,Yingilum
è	è/e	E	Vowel	1490	U+00E8	"kerèk,vrèðdi,vèka"	Angas,Ankwe,Bacama,Bade,Banana,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Mandara,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
é	é/e	E	Vowel	128	U+00E9	"gì̵rkí̵mbi dɩ̂déʔkímbi,šə̄mbé,ɓédùbò"	Bade,Gudu,Higifutu,Jari,Kilba,Lame,Lamepeve,Matakam,Mwulyen,Sura,Yingilum
ê	ê/e	E	Vowel	123	U+00EA	"bàantùnên,nêer,wasì̵mê"	Ankwe,Bacama,Bade,Banana,Boka,Bolewa,Burma,Cip,Dera,Dira,Dwot,Falijilbu,Falikiria,Gaanda,Gabin,Geji,Gera,Hwona,Karekare,Mandara,Margi,Matakam,Ngamo,Ngwaxi,Njanye,Pero,Plci,Seya,Sura,Tangale,Yingilum,Zvana
ì	ì/i	I	Vowel	3462	U+00EC	"gʷukánkì,kwùcì,ɗìc"	Angas,Ankwe,Bacama,Bade,Banana,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
í	í/i	I	Vowel	642	U+00ED	"ífřì,ùlèí,čεřší nàtsə́rši"	Bacama,Bade,Falijilbu,Gudu,Hildi,Kilba,Lame,Lamepeve,Margi,Matakam,Mwulyen,Piimdi,Yingilum
î	î/i	I	Vowel	240	U+00EE	"nə̀mdə fìtî,ŋgùtàn gîŋ,ǹjὲtî"	Ankwe,Bade,Banana,Boka,Bolewa,Buli,Bura,Cibak,Dera,Dira,Dwot,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Geji,Gera,Gude,Gudu,Higifutu,Hildi,Jaku,Karekare,Kilba,Lame,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Pero,Plci,Seya,Sura,Tangale,Yingilum
ï	ɨ	I	Vowel	1	U+00EF	"nàtísùkïší na kɔúkwákuši"	Lame
ð	ð	D	Consonant	570	U+00F0	"baði,kum nya ḿðà,ðə̀ra"	Bacama,Bade,Banana,Bananamouseye,Boka,Bura,Cibak,Daba,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gava,Geji,Glvda,Gude,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Karekare,Kilba,Lame,Lamepeve,Mandara,Margi,Massa,Matakam,Miya,Ngizim,Ngwaxi,Pero,Piimdi,Plci,Seya,Wamdiu,Westmargi,Zvana
ñ	ɲ	N	Consonant	28	U+00F1	"mέdífà kùmìñí,válàñí,yaɗañ"	Jaku,Kilba,Yingilum
ò	ò/o	U	Vowel	1527	U+00F2	"kambanò,mò,pòmīskátá"	Angas,Ankwe,Bacama,Bade,Banana,Bankala,Boka,Bolewa,Buli,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Higibaza,Higifutu,Higikamale,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Mandara,Margi,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
ó	ó/o	U	Vowel	250	U+00F3	"dókwǎa,gbórə́m,yóùvó"	Bade,Gudu,Kilba,Lame,Lamepeve,Matakam,Mismezime,Mwulyen,Yingilum
ô	ô/o	U	Vowel	136	U+00F4	"kwô,sôy,tôŋ"	Ankwe,Bacama,Bade,Boka,Bolewa,Buli,Cip,Dera,Dwot,Gaanda,Geji,Gera,Gudu,Higibaza,Karekare,Kilba,Lame,Mandara,Matakam,Mismezime,Miya,Mwulyen,Ngamo,Ngizim,Pero,Plci,Sura,Tangale,Yingilum
õ	õ	U	Vowel	9	U+00F5	"kwõwì,ma bi buwõ,zoŋõ"	Geji,Jaku,Lamepeve,Yingilum
ö	ø	U	Vowel	2	U+00F6	"govörùtɔ,vödùtɔ"	Bacama
ù	ù/u	Y	Vowel	5437	U+00F9	"ti ðù,tùfəy,wùɗa ko wùɗa làva"	Angas,Ankwe,Bacama,Bade,Banana,Bankala,Boka,Bolewa,Buli,Bura,Burma,Cibak,Cip,Daba,Dera,Dira,Dwot,Faligili,Falijilbu,Falikiria,Falimucella,Faliwagira,Gaanda,Gabin,Gava,Geji,Gera,Glvda,Gude,Gudu,Hausa,Higibaza,Higifutu,Higighye,Higikamale,Higinkafa,Hildi,Hwona,Jaku,Jari,Karekare,Kilba,Lame,Mandara,Margi,Matakam,Mismezime,Miya,Mwulyen,Nakatsa,Ngamo,Ngizim,Ngwaxi,Njanye,Pero,Piimdi,Plci,Seya,Sura,Tangale,Wamdiu,Westmargi,Yingilum,Zvana
ú	ú/u	Y	Vowel	591	U+00FA	"húbà,máhúnàː,ǹzúmtígí"	Bade,Bura,Falimucella,Gaanda,Glvda,Gudu,Higifutu,Hildi,Kilba,Lame,Lamepeve,Mwulyen,Sura,Westmargi,Yingilum
